epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
83,4479.37,1.31798,0.34828,0.15574,0.52485,0.39836,0.39264,0.21267,0.90796,0.46965,0.09627,0.00643101,0.00643101,0.00643101
84,4888.9,1.4212,0.32011,0.18761,0.5244,0.39695,0.39085,0.21724,0.91099,0.46282,0.09974,0.00635617,0.00635617,0.00635617
85,5298.01,1.3833,0.33322,0.17465,0.5313,0.39105,0.38858,0.21405,0.90863,0.47139,0.09926,0.00628101,0.00628101,0.00628101
86,5706.1,1.31876,0.35411,0.1625,0.53448,0.39234,0.39289,0.2185,0.89518,0.48292,0.09765,0.00620555,0.00620555,0.00620555
87,6113.74,1.35889,0.33988,0.16095,0.53935,0.39856,0.39792,0.21533,0.89214,0.48281,0.09705,0.00612981,0.00612981,0.00612981
88,6521.93,1.32243,0.3458,0.16447,0.53531,0.40087,0.39499,0.21387,0.9131,0.46542,0.10001,0.0060538,0.0060538,0.0060538
89,6930.8,1.35475,0.34173,0.17122,0.52958,0.39602,0.39161,0.21654,0.90604,0.46919,0.09918,0.00597754,0.00597754,0.00597754
90,7338.56,1.33017,0.3452,0.16633,0.53588,0.39378,0.39115,0.21624,0.90128,0.47241,0.09858,0.00590105,0.00590105,0.00590105
91,7747.77,1.34388,0.33669,0.16766,0.52784,0.39381,0.38759,0.21517,0.90965,0.47013,0.10048,0.00582435,0.00582435,0.00582435
92,8155.81,1.322,0.34837,0.16069,0.52916,0.38862,0.38403,0.20915,0.91691,0.47225,0.09929,0.00574746,0.00574746,0.00574746
93,8564.99,1.32078,0.35075,0.15336,0.53831,0.40164,0.39527,0.21679,0.89553,0.47484,0.09539,0.0056704,0.0056704,0.0056704
94,8974,1.28616,0.36256,0.14939,0.53846,0.40693,0.40156,0.21887,0.88677,0.47541,0.09366,0.00559318,0.00559318,0.00559318
95,9382.64,1.30077,0.35218,0.14821,0.53666,0.40802,0.40201,0.21833,0.8808,0.47353,0.09425,0.00551584,0.00551584,0.00551584
96,9790.7,1.32099,0.34636,0.15553,0.54092,0.40234,0.39571,0.21567,0.90902,0.45947,0.09655,0.00543837,0.00543837,0.00543837
97,10199.3,1.26801,0.36494,0.14834,0.5423,0.40844,0.4042,0.22353,0.88039,0.47064,0.09444,0.00536081,0.00536081,0.00536081
98,10608.1,1.29204,0.35396,0.14891,0.54351,0.41263,0.40704,0.22555,0.87294,0.4713,0.09373,0.00528318,0.00528318,0.00528318
99,11016.1,1.26896,0.36378,0.14865,0.54465,0.41148,0.40446,0.22431,0.88012,0.46642,0.09377,0.00520548,0.00520548,0.00520548
100,11424.9,1.36519,0.33136,0.17221,0.54889,0.40896,0.40292,0.22591,0.88729,0.46402,0.09413,0.00512775,0.00512775,0.00512775
101,11833.4,1.28388,0.35048,0.15687,0.54064,0.40688,0.39953,0.22303,0.8936,0.4631,0.09496,0.00505,0.00505,0.00505
102,12242.1,1.27865,0.35526,0.15088,0.53696,0.40696,0.39854,0.22078,0.90298,0.45852,0.09603,0.00497225,0.00497225,0.00497225
103,12650.9,1.29141,0.35476,0.15358,0.54308,0.41048,0.40323,0.22366,0.89092,0.46664,0.09458,0.00489452,0.00489452,0.00489452
104,13059.7,1.25658,0.36815,0.14077,0.54716,0.41244,0.40786,0.22593,0.88402,0.46911,0.0927,0.00481682,0.00481682,0.00481682
105,13468.1,1.22833,0.37718,0.13477,0.55531,0.42246,0.41764,0.23342,0.85176,0.4818,0.08963,0.00473919,0.00473919,0.00473919
106,13876.4,1.2468,0.36968,0.14115,0.55294,0.42557,0.41916,0.23475,0.84376,0.48435,0.08913,0.00466163,0.00466163,0.00466163
107,14284.1,1.23486,0.37117,0.13689,0.55678,0.42529,0.41932,0.23442,0.84781,0.48169,0.0891,0.00458416,0.00458416,0.00458416
108,14692.8,1.2249,0.37129,0.1403,0.55203,0.42131,0.41591,0.23346,0.8508,0.48001,0.08956,0.00450682,0.00450682,0.00450682
109,15101.2,1.28523,0.35443,0.15341,0.54835,0.42627,0.41699,0.23428,0.85041,0.47902,0.08951,0.0044296,0.0044296,0.0044296
110,15509.2,1.25622,0.3614,0.14943,0.54746,0.42698,0.41899,0.23695,0.84589,0.47862,0.08952,0.00435254,0.00435254,0.00435254
111,15918.6,1.29767,0.34078,0.16039,0.55253,0.42357,0.41683,0.23637,0.8511,0.47309,0.09064,0.00427565,0.00427565,0.00427565
112,16327.1,1.32231,0.33164,0.16724,0.54943,0.42234,0.4133,0.23591,0.8587,0.46802,0.09242,0.00419895,0.00419895,0.00419895
113,16735.9,1.30157,0.33737,0.16352,0.55081,0.41679,0.40981,0.23336,0.8689,0.46481,0.09371,0.00412246,0.00412246,0.00412246
114,17145.8,1.29925,0.33851,0.16488,0.54961,0.4119,0.40506,0.22951,0.88052,0.46189,0.09507,0.0040462,0.0040462,0.0040462
115,17554.8,1.26556,0.35325,0.15307,0.55733,0.4082,0.40293,0.22795,0.88543,0.46019,0.09533,0.00397019,0.00397019,0.00397019
116,17963,1.28176,0.34754,0.15586,0.55003,0.40803,0.40129,0.22737,0.88818,0.45812,0.09546,0.00389445,0.00389445,0.00389445
117,18370.3,1.29613,0.34794,0.16002,0.54499,0.40693,0.39876,0.2257,0.89424,0.45593,0.09596,0.00381899,0.00381899,0.00381899
118,18777.7,1.27232,0.35823,0.14917,0.54547,0.40494,0.39885,0.2253,0.8922,0.45863,0.09528,0.00374383,0.00374383,0.00374383
119,19186.1,1.30692,0.34679,0.1631,0.54765,0.40341,0.3979,0.22352,0.89702,0.46034,0.09592,0.00366899,0.00366899,0.00366899
120,19595.2,1.31363,0.33889,0.16889,0.54372,0.40184,0.39654,0.22208,0.90091,0.46021,0.0963,0.0035945,0.0035945,0.0035945
121,20004,1.29375,0.34816,0.16263,0.54076,0.39966,0.39354,0.21955,0.90489,0.46002,0.09715,0.00352037,0.00352037,0.00352037
122,20412.2,1.2408,0.36815,0.14324,0.5391,0.40214,0.39532,0.22097,0.89826,0.4633,0.0957,0.00344661,0.00344661,0.00344661
123,20820.3,1.24552,0.36117,0.14554,0.54029,0.40244,0.39578,0.22117,0.89722,0.46372,0.09562,0.00337325,0.00337325,0.00337325
124,21228.7,1.23989,0.36108,0.15115,0.54147,0.40077,0.39452,0.22028,0.89786,0.46396,0.09542,0.0033003,0.0033003,0.0033003
125,21636.8,1.27018,0.3594,0.15046,0.54324,0.40102,0.39565,0.21994,0.89492,0.46703,0.09527,0.00322778,0.00322778,0.00322778
126,22045.1,1.18564,0.38322,0.13145,0.54629,0.40472,0.39997,0.22158,0.88386,0.47366,0.09375,0.00315572,0.00315572,0.00315572
127,22454.1,1.22073,0.35884,0.14715,0.54737,0.40425,0.3992,0.22124,0.88741,0.47041,0.09444,0.00308412,0.00308412,0.00308412
128,22862.3,1.26224,0.35318,0.15069,0.54817,0.40407,0.39787,0.21994,0.89103,0.46868,0.09467,0.003013,0.003013,0.003013
129,23270.6,1.2596,0.35578,0.1517,0.54869,0.40192,0.39695,0.21837,0.89418,0.46901,0.09508,0.00294239,0.00294239,0.00294239
130,23679.8,1.25074,0.35557,0.15067,0.54781,0.40095,0.39625,0.21831,0.89675,0.46662,0.09548,0.0028723,0.0028723,0.0028723
131,24087.3,1.22382,0.36047,0.14373,0.5483,0.40254,0.39772,0.22052,0.89416,0.46466,0.09494,0.00280275,0.00280275,0.00280275
132,24495.4,1.24208,0.36462,0.14911,0.54389,0.40409,0.3984,0.22103,0.89283,0.46526,0.09467,0.00273375,0.00273375,0.00273375
133,24904.5,1.21188,0.36544,0.13989,0.54402,0.40348,0.39797,0.21962,0.89591,0.46424,0.09473,0.00266532,0.00266532,0.00266532
134,25312.5,1.214,0.37836,0.13864,0.54385,0.40432,0.39848,0.22094,0.88928,0.46756,0.09391,0.00259748,0.00259748,0.00259748
135,25721.2,1.19321,0.38957,0.14093,0.54459,0.40616,0.39986,0.22056,0.88868,0.46856,0.09385,0.00253024,0.00253024,0.00253024
136,26130.1,1.1874,0.38688,0.13872,0.54504,0.40652,0.40002,0.2219,0.88507,0.47028,0.09324,0.00246363,0.00246363,0.00246363
137,26538.1,1.20128,0.37402,0.1435,0.54571,0.40399,0.39883,0.22027,0.89038,0.47186,0.09392,0.00239766,0.00239766,0.00239766
138,26946.5,1.2589,0.34225,0.15469,0.54685,0.40013,0.39619,0.21805,0.89773,0.46897,0.09487,0.00233234,0.00233234,0.00233234
139,27356,1.23323,0.35578,0.1465,0.54294,0.40043,0.39552,0.21754,0.9002,0.46733,0.09515,0.00226769,0.00226769,0.00226769
140,27765.9,1.21184,0.37271,0.14208,0.54643,0.39926,0.39539,0.21638,0.90124,0.46881,0.09507,0.00220372,0.00220372,0.00220372
141,28176.3,1.35612,0.33156,0.16271,0.54155,0.39777,0.39268,0.21119,0.915,0.46686,0.09572,0.00214046,0.00214046,0.00214046
142,28584.8,1.73076,0.26335,0.22888,0.54367,0.39863,0.39222,0.21287,0.92143,0.46012,0.09646,0.00207792,0.00207792,0.00207792
143,28992.6,1.82814,0.24551,0.24441,0.5379,0.39219,0.38425,0.20492,0.95144,0.45018,0.09839,0.00201611,0.00201611,0.00201611
144,29400.4,1.16588,0.39658,0.12832,0.53853,0.38334,0.37628,0.19727,0.98133,0.43738,0.09936,0.00195505,0.00195505,0.00195505
145,29808.5,1.04172,0.42251,0.11442,0.53422,0.37529,0.36877,0.19118,1.004,0.42567,0.09981,0.00189475,0.00189475,0.00189475
146,30215.9,1.00122,0.43034,0.10687,0.53199,0.36794,0.36358,0.1883,1.01775,0.41841,0.09987,0.00183523,0.00183523,0.00183523
147,30624.2,0.97802,0.43525,0.10399,0.52936,0.36508,0.36131,0.18732,1.02426,0.41383,0.09965,0.00177651,0.00177651,0.00177651
148,31033.5,0.99685,0.42933,0.1076,0.53133,0.36529,0.3609,0.18799,1.0268,0.41145,0.09924,0.00171859,0.00171859,0.00171859
149,31441.5,0.97802,0.43428,0.10397,0.52612,0.36579,0.36077,0.18886,1.02511,0.41138,0.09837,0.00166149,0.00166149,0.00166149
150,31850,0.97455,0.43247,0.10703,0.52844,0.36795,0.36219,0.19057,1.02038,0.41211,0.09746,0.00160523,0.00160523,0.00160523
151,32257.6,0.96942,0.43312,0.10444,0.53256,0.37048,0.36573,0.19295,1.0132,0.41381,0.09646,0.00154982,0.00154982,0.00154982
152,32664.8,0.96288,0.43385,0.10187,0.53185,0.3755,0.36849,0.19561,1.00473,0.41629,0.09545,0.00149527,0.00149527,0.00149527
153,33072.9,0.9635,0.43214,0.10495,0.53511,0.37968,0.37355,0.19881,0.99341,0.41962,0.09445,0.00144161,0.00144161,0.00144161
154,33481.4,0.98952,0.42732,0.10823,0.53812,0.38346,0.37752,0.20205,0.98083,0.42375,0.09336,0.00138883,0.00138883,0.00138883
155,33889.2,0.94837,0.43565,0.10425,0.54082,0.38713,0.38122,0.2044,0.97058,0.42756,0.09239,0.00133695,0.00133695,0.00133695
